Id,SubCode,ExamDuration
0,ACC101,90
1,ACC302,90
2,ADS301m,90
3,ADY201m,90
4,AET102,180
5,AIL302m,90
6,AIL303m,90
7,BRA301,270
8,BUE201,90
9,CAA201,90
10,CCO201,270
11,CEA201,90
12,CHN111,270
13,CHN122,270
14,CPV301,90
15,CSD201,90
16,CSD203,90
17,CSD301,90
18,CSI104,90
19,CSI105,90
20,DAP391m,180
21,DBI202,90
22,DBM301,90
23,DBS401,90
24,DBW301,90
25,DGT301,90
26,DPL301m,90
27,DTA301,90
28,EAL201,180
29,EAW211,90
30,EAW221,90
31,ECB101,90
32,ECO111,90
33,ECO121,90
34,ECO201,90
35,ECR201,90
36,ELI301,270
37,ELI401,270
38,ELT301,90
39,ENB301,180
40,ENM301,270
41,ENM401,270
42,ENP102,90
43,ERW411,90
44,ESL101,90
45,ESP301m,90
46,EVN201,90
47,FBM201,90
48,FER201m,90
49,FIN202,90
50,FIN303,90
51,FRS301,90
52,GEM201,90
53,HCI201,90
54,HOA102,180
55,HOD401,90
56,HOM302,90
57,IAA202,90
58,IAM302,180
59,IAP301,90
60,IAW301,90
61,IBC201,90
62,IBF301,90
63,IBI101,180
64,IEI301,90
65,IMP301,90
66,IMT301,90
67,IOC311,90
68,IOP391,270
69,IOS301,90
70,IOT102,90
71,IPR102,90
72,ISC301,90
73,ISC302,90
74,ISM302,90
75,ITA301,180
76,JIG301,90
77,JLR302,90
78,JPB301,90
79,JPD113,90
80,JPD123,90
81,JPD126,270
82,JPD133,90
83,JPD226,270
84,JPD316,90
85,JPD326,90
86,JPD346,90
87,JSC201,90
88,JSC301,90
89,JSI201,90
90,KOR311,270
91,KOR411,270
92,LAW102,90
93,LIT301,90
94,LOG311,90
95,LOG321,90
96,LTG202,90
97,LTG203,90
98,MAD101,90
99,MAE101,90
100,MAI391,180
101,MAS202,90
102,MAS291,90
103,MCO201m,270
104,MED201,90
105,MEP201,270
106,MGT103,90
107,MKT101,90
108,MKT201,90
109,MKT202,90
110,MKT301,90
111,MKT304,90
112,MKT309m,90
113,MLN101,90
114,MLN122,90
115,MLN131,90
116,MLT301,90
117,MMP201,90
118,NWC204,90
119,NWC302,90
120,OSG202,90
121,OSP201,90
122,PFP191,90
123,PRE202,270
124,PRF192,90
125,PRJ301,90
126,PRJ302,90
127,PRM392,90
128,PRN211,90
129,PRN221,90
130,PRN231,90
131,PRO192,90
132,PRU211m,90
133,PRU221m,90
134,PRX301,90
135,PST202,90
136,RES201,90
137,RES213,90
138,RES222,90
139,RES301,90
140,RMB301,90
141,RMC201,90
142,SAL301,180
143,SCM201,90
144,SCM301m,90
145,SEM101,90
146,SSB201,90
147,SSC102,90
148,SSG104,90
149,SST301,90
150,SWD392,90
151,SWR302,270
152,SWT301,270
153,VNC104,90
154,VNR201,90
155,VNR202,90
